"id","parent_category_id","name","status"
331,51,"Tempat Saos & Kecap","active"
332,51,"Toples Makanan","active"
333,52,"Alat Penghias Kue","active"
334,52,"Cetakan Kue","active"
335,52,"Kertas Baking","active"
336,52,"Kocokan Telur","active"
337,52,"Kuas Kue","active"
338,52,"Loyang Kue","active"
339,52,"Pisau Kue","active"
340,52,"Tatakan Kue","active"
341,53,"Alat Pembuka Botol","active"
342,53,"Alat Pembuka Kaleng","active"
343,53,"Dispenser Air","active"
344,53,"Pompa Galon","active"
345,53,"Rak Dapur","active"
346,53,"Rak Piring","active"
347,53,"Regulator & Penghemat Gas","active"
348,53,"Sarung Galon","active"
349,53,"Sarung Kulkas","active"
350,53,"Timbangan Dapur","active"
351,53,"Water Purifier","active"
352,54,"Cangkir","active"
353,54,"Centong Nasi","active"
354,54,"Gelas & Mug","active"
355,54,"Mangkok Makan","active"
356,54,"Nampan","active"
357,54,"Piring & Mangkok Saji","active"
358,54,"Piring Makan","active"
359,54,"Pitcher Minuman","active"
360,54,"Sedotan","active"
361,54,"Sendok & Garpu Dessert","active"
362,54,"Sendok & Garpu Makan","active"
363,54,"Sendok Sayur & Kuah","active"
364,54,"Sumpit","active"
365,54,"Tatakan Gelas & Piring","active"
366,54,"Tempat Sendok & Garpu","active"
367,54,"Tudung Saji","active"
368,54,"Tutup Gelas","active"
369,55,"Cetakan Es, Puding, Coklat","active"
370,55,"Cobek","active"
371,55,"Deep Fryer","active"
372,55,"Gelas Takar","active"
373,55,"Gilingan Daging","active"
374,55,"Griller","active"
375,55,"Kompor","active"
376,55,"Panci","active"
377,55,"Presto","active"
378,55,"Saringan Masak","active"
379,55,"Sendok Takar","active"
380,55,"Spatula & Sutil","active"
381,55,"Steamer","active"
382,55,"Teko Air Minum","active"
383,55,"Teko Pemanas Air","active"
384,55,"Wajan","active"
385,56,"Dish Dryer","active"
386,56,"Sabun Cuci Piring","active"
387,56,"Sabut","active"
388,56,"Saringan Bak Cuci Piring","active"
389,56,"Sikat Cuci Botol","active"
390,56,"Sponge Cuci Piring","active"
391,58,"AC Portable","active"
392,58,"AC Reflektor","active"
393,58,"AC Standing","active"
394,58,"Kipas Angin Listrik","active"
395,59,"Amplifier","active"
396,59,"Earphone","active"
397,59,"Headphone","active"
398,59,"Kabel & Konektor Audio","active"
399,59,"Sound System","active"
400,59,"Speaker","active"
401,59,"Voice Recorder","active"
402,60,"Blender","active"
403,60,"Juicer","active"
404,60,"Kompor Listrik","active"
405,60,"Kulkas","active"
406,60,"Microwave","active"
407,60,"Mixer","active"
408,60,"Oven","active"
409,60,"Rice Cooker","active"
410,60,"Slow Cooker","active"
411,60,"Toaster","active"
412,61,"Kartu RFID","active"
413,61,"Laser Pointer","active"
414,61,"Layar Proyektor","active"
415,61,"LED Proyektor","active"
416,61,"Mesin Absensi","active"
417,61,"Mesin Fax","active"
418,61,"Mesin Fotocopy","active"
419,61,"Mesin Hitung Uang","active"
420,61,"Mesin Jilid","active"
421,61,"Mesin Kasir","active"
422,61,"Mesin Laminating","active"
423,61,"Mesin Penghancur Kertas","active"
424,61,"Reader RFID","active"
425,62,"Alat Pengering Baju","active"
426,62,"Hand Blower","active"
427,62,"Mesin Cuci","active"
428,62,"Setrika","active"
429,62,"Setrika Uap","active"
430,62,"Vacuum Cleaners","active"
431,63,"Access Control Door","active"
432,63,"Alarm","active"
433,63,"DVR","active"
434,63,"IP Camera","active"
435,63,"Kabel CCTV","active"
436,63,"Kamera CCTV","active"
437,63,"Metal Detector","active"
438,63,"Motion Detector","active"
439,63,"Smoke Detector","active"
440,63,"Spare Part","active"
441,64,"Bohlam","active"
442,64,"Fitting Lampu","active"
443,64,"Lampu Baca","active"
444,64,"Lampu Darurat","active"
445,64,"Lampu Dinding","active"
446,64,"Lampu Gantung","active"
447,64,"Lampu Hias","active"
448,64,"Lampu Meja","active"
449,64,"Lampu Proyektor","active"
450,64,"Lampu Tidur","active"
451,64,"Senter","active"
452,65,"Blu Ray Player","active"
453,65,"DVD Player","active"
454,65,"MP3 & MP4 Player","active"
455,65,"Perangkat Elektronik Lainnya","active"
456,65,"Radio & Tape Player","active"
457,66,"Lainnya","active"
458,67,"Printer All in One","active"
459,67,"Printer Barcode","active"
460,67,"Printer Dot Matrix","active"
461,67,"Printer Ink Jet","active"
462,67,"Printer Laser Color","active"
463,67,"Printer Laser Mono","active"
464,67,"Printer Thermal","active"
465,67,"Scanner","active"
466,67,"Spare part Printer","active"
467,67,"Tinta Printer","active"
468,67,"Toner Printer","active"
469,68,"Kabel & Konektor Telepon","active"
470,68,"Telepon Kabel","active"
471,68,"Telepon Satelit","active"
472,68,"Telepon Wireless","active"
473,68,"Walkie Talkie","active"
474,69,"Antena TV & Parabola","active"
475,69,"Bracket TV","active"
476,69,"Kabel & Konektor","active"
477,69,"Penguat Sinyal TV","active"
478,69,"Receiver TV","active"
479,69,"Remote TV","active"
480,69,"Televisi","active"
481,69,"TV Box","active"
482,70,"Soundcard Recording","active"
483,71,"Aksesoris Alat Musik Gesek","active"
484,71,"Biola","active"
485,71,"Bow Biola & Cello","active"
486,71,"Cello","active"
487,71,"Senar Biola","active"
488,71,"Senar Cello","active"
489,72,"Aksesoris Alat Musik Tiup","active"
490,72,"Harmonika","active"
491,72,"Pianika","active"
492,72,"Saxophone","active"
493,72,"Selang Pianika","active"
494,72,"Suling Recorder","active"
495,72,"Trumpet","active"
496,72,"Valve Oil","active"
497,73,"Angklung","active"
498,73,"Gamelan","active"
499,73,"Gendang","active"
500,73,"Gong","active"
501,73,"Jimbe","active"
502,73,"Kalimba","active"
503,73,"Kecapi","active"
504,73,"Sasando","active"
505,73,"Seruling","active"
506,74,"Aksesoris Drum & Perkusi","active"
507,74,"Alat Perkusi Orkestra","active"
508,74,"Cajon","active"
509,74,"Cymbal","active"
510,74,"Drum Elektrik","active"
511,74,"Drum Microphone","active"
512,74,"Drum Pad","active"
513,74,"Marakas","active"
514,74,"Pedal Drum","active"
515,74,"Rebana","active"
516,74,"Snare Drum","active"
517,74,"Stand Drum","active"
518,74,"Stik Drum","active"
519,74,"Tamborin","active"
520,74,"Tas Snare & Cymbal Drum","active"
521,76,"Amplifier Gitar & Bass","active"
522,76,"Bass Akustik","active"
523,76,"Bass Elektrik","active"
524,76,"Capo Gitar & Bass","active"
525,76,"Efek Gitar & Bass","active"
526,76,"Gitar Akustik","active"
527,76,"Gitar Elektrik","active"
528,76,"Gitar Klasik","active"
529,76,"Guitalele","active"
530,76,"Kabel Jack Gitar & Bass","active"
531,76,"Pick Gitar & Bass","active"
532,76,"Senar Bass","active"
533,76,"Senar Gitar","active"
534,76,"Stand Gitar","active"
535,76,"Strap Gitar","active"
536,76,"Tas Bass","active"
537,76,"Tas Gitar","active"
538,76,"Tuner Gitar & Bass","active"
539,76,"Ukulele","active"
540,77,"Adaptor Keyboard & Piano","active"
541,77,"Amplifier Keyboard","active"
542,77,"Cover Piano","active"
543,77,"Electone","active"
544,77,"Grand Piano","active"
545,77,"Keyboard","active"
546,77,"Kursi Keyboard & Piano","active"
547,77,"Pedal Piano & Keyboard","active"
548,77,"Piano","active"
549,77,"Piano Elektrik","active"
550,77,"Stand Keyboard","active"
551,77,"Synthesizer","active"
552,77,"Tas Keyboard","active"
553,78,"CD & DVD Musik","active"
554,78,"Kaset Pita","active"
555,78,"Lainnya","active"
556,79,"Busa Peredam Suara","active"
557,79,"Metronome","active"
558,79,"Stand Partitur","active"
559,80,"Aksesoris Microphone","active"
560,80,"Efek Vokal","active"
561,80,"Microphone","active"
562,80,"Mixer Audio","active"
563,81,"Charger Handphone","active"
564,81,"Charger Mobil","active"
565,81,"Docking Handphone","active"
566,81,"Flip Cover Handphone","active"
567,81,"Gantungan Handphone","active"
568,81,"Hard Case Handphone","active"
569,81,"Holder Handphone","active"
570,81,"I-Ring","active"
571,81,"Kabel Data","active"
572,81,"Kabel OTG","active"
573,81,"Lensa Kamera Handphone","active"
574,81,"Mount Handphone","active"
575,81,"Pelindung Kabel","active"
576,81,"Pembesar Layar Handphone","active"
577,81,"Pop Socket","active"
578,81,"Rubber Gel Pad","active"
579,81,"Screen Protector Handphone","active"
580,81,"Selfie Ring Light","active"
581,81,"Skin Handphone","active"
582,81,"Soft Case Handphone","active"
583,81,"Stand Handphone","active"
584,81,"Tongsis","active"
585,81,"Tripod Handphone","active"
586,82,"Casing & Cover Tablet","active"
587,82,"Charger Tablet","active"
588,82,"Connection Kit","active"
589,82,"Docking Tablet","active"
590,82,"Holder Tablet","active"
591,82,"Keyboard Bluetooth","active"
592,82,"Mount Tablet","active"
593,82,"Screen Guard Tablet","active"
594,82,"Stylus Tablet","active"
595,82,"Tablet Sleeve","active"
596,82,"Tripod Tablet","active"
597,83,"Android OS","active"
598,83,"BlackBerry OS","active"
599,83,"Feature Phone","active"
600,83,"iOS","active"
601,83,"Windows Mobile","active"
602,84,"Baterai Handphone","active"
603,84,"IC Handphone","active"
604,84,"Keypad Handphone","active"
605,84,"LCD Handphone","active"
606,84,"Sim Tray Handphone","active"
607,84,"Spare Part Handphone","active"
608,85,"Baterai Tablet","active"
609,85,"LCD Tablet","active"
610,85,"Spare Part Tablet","active"
611,86,"Nomor Perdana","active"
612,86,"Voucher Data Fisik","active"
613,86,"Voucher Pulsa Fisik","active"
614,88,"Android OS","active"
615,88,"iOS","active"
616,88,"Kindle e-Book","active"
617,88,"Windows Mobile","active"
618,89,"Aksesoris Wearable Devices","active"
619,89,"GPS & Sport Tracker","active"
620,89,"Lainnya","active"
621,89,"Virtual Reality","active"
622,89,"Wearable Cameras","active"
623,90,"Kabel Konektor Kamera","active"
624,90,"Lainnya","active"
625,90,"Microphone Kamera","active"
626,90,"Monopod Kamera","active"
627,90,"Remote Wireless Kamera","active"
628,90,"Silica Gel Kamera","active"
629,90,"Stabilizer Kamera","active"
630,90,"Tripod Kamera","active"
631,91,"Disposable Camera","active"
632,91,"Kamera Film","active"
633,91,"Kamera Instan","active"
634,92,"Baterai","active"
635,92,"Charger Kamera","active"
636,93,"Camcorder","active"
637,94,"Cleaning Cloth & Wipe","active"
638,94,"Cleaning Kit Kamera","active"
639,94,"Cleaning Swab","active"
640,94,"Dry Box Kamera","active"
641,94,"Lenspen","active"
642,94,"Rubber Dust Air Blower","active"
643,95,"Action Camera","active"
644,95,"Kamera 360","active"
645,95,"Kamera DSLR","active"
646,95,"Kamera Mirrorless","active"
647,95,"Kamera Pocket","active"
648,96,"Aksesoris Drone","active"
649,96,"Drone Kamera","active"
650,96,"Drone Remote Control","active"
651,96,"Tas Drone","active"
652,97,"Album Foto","active"
653,97,"DVs","active"
654,97,"Frame Digital","active"
655,97,"Frame Foto","active"
656,97,"Printer Foto","active"
657,97,"Printer Foto Portable","active"
658,97,"Refilll Kamera Instan","active"
659,97,"Roll Film","active"
660,98,"Adapter Lensa","active"
661,98,"Cap Lensa Kamera","active"
662,98,"Converter - Teleconverter","active"
663,98,"Filter Lensa Kamera","active"
664,98,"Hood Lensa Kamera","active"
665,98,"Lens Pouch","active"
666,98,"Lensa Kamera","active"
667,99,"Backdrop","active"
668,99,"Flash Diffuser","active"
669,99,"Flash Kamera","active"
670,99,"Flash Trigger","active"
671,99,"Hot Shoe Kamera","active"
672,99,"Ring Light","active"
673,99,"Softbox","active"
674,100,"Case Kamera","active"
675,100,"Strap Kamera","active"
676,100,"Tas Ransel Kamera","active"
677,100,"Tas Selempang Kamera","active"
678,100,"Waterproof Case Kamera","active"
679,106,"Alat Bantu Pendengaran","active"
680,106,"Alat Bantu Penglihatan","active"
681,106,"Alat Bantu Pernafasan","active"
682,106,"Alat Diagnosa","active"
683,106,"Alat Laboratorium","active"
684,106,"Alat Pelangsing","active"
685,106,"Alat Penunjang Gerak","active"
686,106,"Alat Pijat","active"
687,106,"Alat Terapi","active"
688,106,"Disposable Consumable","active"
689,106,"Earmuff","active"
690,106,"Peralatan P3K","active"
691,106,"Peralatan Rumah Sakit Emergency","active"
692,106,"Seragam Medis","active"
693,106,"Termometer","active"
694,106,"Timbangan Badan","active"
695,107,"Balsam","active"
696,107,"Koyo","active"
697,107,"Minyak Pijat","active"
698,107,"Salep Otot","active"
699,108,"Calcium","active"
700,108,"Sistem Kekebalan Tubuh","active"
701,108,"Suplemen Vitamin Rambut","active"
702,108,"Vitamin A","active"
703,108,"Vitamin Anak","active"
704,108,"Vitamin B","active"
705,108,"Vitamin Bayi","active"
706,108,"Vitamin C","active"
707,108,"Vitamin D","active"
708,108,"Vitamin E","active"
709,109,"Adaptor Laptop","active"
710,109,"Alas Laptop","active"
711,109,"Card Readers","active"
712,109,"Cooling Pad","active"
713,109,"Drawing Tablet","active"
714,109,"Kabel & Konektor","active"
715,109,"Keyboard","active"
716,109,"Keypad","active"
717,109,"Lainnya","active"
718,109,"Laptop Case","active"
719,109,"Laptop Sleeve","active"
720,109,"Meja Laptop","active"
721,109,"Mouse","active"
722,109,"Mouse & Keyboard Bundle","active"
723,109,"Mousepad","active"
724,109,"Protector Laptop","active"
725,109,"Skin Laptop","active"
726,109,"Tas Laptop","active"
727,109,"TV Card & Tuner","active"
728,109,"Webcam","active"
729,110,"Gaming Mouse & Keyboard Bundle","active"
730,110,"Headset Gaming","active"
731,110,"Keyboard Gaming","active"
732,110,"Laptop Gaming","active"
733,110,"Mouse Gaming","active"
734,110,"Mouse Pad Gaming","active"
735,110,"PC Gaming","active"
736,111,"Desktop All-in-One","active"
737,111,"Desktop Tower","active"
738,111,"Komputer Rakitan","active"
739,111,"Mini PC","active"
740,112,"Kabel DVI","active"
741,112,"Kabel Ethernet","active"
742,112,"Kabel FireWire","active"
743,112,"Kabel Front Panel","active"
744,112,"Kabel HDMI","active"
745,112,"Kabel IDE","active"
746,112,"Kabel LAN","active"
747,112,"Kabel Power CPU","active"
748,112,"Kabel SATA & eSATA","active"
749,112,"Kabel USB","active"
750,112,"Kabel UTP","active"
751,112,"Kabel VGA","active"
752,112,"USB Hub & Extension","active"
753,113,"Casing Komputer","active"
754,113,"CPU Processor","active"
755,113,"Internal Fan & Cooler","active"
756,113,"Internal Power Supply","active"
757,113,"Motherboard","active"
758,113,"Motherboard AMD","active"
759,113,"Optical Drive","active"
760,113,"Port USB & Audio","active"
761,113,"RAM Komputer","active"
762,113,"Sound Card","active"
763,113,"Stabilizer Komputer","active"
764,113,"Thermal Paste","active"
765,113,"UPS","active"
766,113,"VGA Card","active"
767,114,"Baterai Laptop","active"
768,114,"Cooling Fan Laptop","active"
769,114,"Keyboard Laptop","active"
770,114,"LCD Laptop","active"
771,114,"Mainboard Laptop","active"
772,114,"Processor Laptop","active"
773,114,"RAM Laptop","active"
774,115,"Laptop 2 in 1","active"
775,115,"Laptop Consumer","active"
776,115,"Notebook","active"
777,115,"Ultrabook","active"
778,116,"Casing CD / DVD","active"
779,116,"CD & DVD Kosong","active"
780,116,"Disket","active"
781,116,"Harddisk External","active"
782,116,"Harddisk Internal","active"
783,116,"Lainnya","active"
784,116,"SSD","active"
785,116,"Storage Cases & Docking","active"
786,116,"USB Flash Disk","active"
787,117,"Case Memory Card","active"
788,117,"Compact Flash","active"
789,117,"Memory Card Adapter","active"
790,117,"Memory Stick Micro M2","active"
791,117,"Memory Stick Pro Duo","active"
792,117,"Memory Stick Pro-HG Duo","active"
793,117,"microSD Card","active"
794,117,"miniSD Card","active"
795,117,"MMC","active"
796,117,"SD Card","active"
797,118,"Monitor LCD","active"
798,118,"Monitor LED","active"
799,118,"Monitor Tabung","active"
